タイトル,ポイント,id
たりないふたり,0.95,
アルコ&ピースのオールナイトニッポンシリーズ,0.85,
ゴッドタン,0.9,
とんぱちオードリー,0.9,
オードリーのオールナイトニッポン, 0.9,
カウボーイビバップ,0.7,
攻殻機動隊 STAND ALONE COMPLEX,1,129204
